fips2000,fips2010,Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,CouSub,countyname,CBSASub,Areaname,county_town_name,pop2010,hu2010,state_alpha
0100199999,0100199999,761,606,640,1046,1244,1,1,99999,Autauga County,METRO33860M33860,"Montgomery, AL MSA",Autauga County,54571,22135,AL
0100399999,0100399999,913,592,770,1345,1580,3,1,99999,Baldwin County,NCNTY01003N01003,"Baldwin County, AL",Baldwin County,182265,104061,AL
0100599999,0100599999,623,457,460,776,833,5,1,99999,Barbour County,NCNTY01005N01005,"Barbour County, AL",Barbour County,27457,11829,AL
0100799999,0100799999,811,572,684,1065,1198,7,1,99999,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,22915,8981,AL
0100999999,0100999999,811,572,684,1065,1198,9,1,99999,Blount County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,57322,23887,AL
0101199999,0101199999,566,454,477,748,1002,11,1,99999,Bullock County,NCNTY01011N01011,"Bullock County, AL",Bullock County,10914,4493,AL
0101399999,0101399999,566,428,431,822,844,13,1,99999,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,20947,9964,AL
0101599999,0101599999,725,528,551,936,975,15,1,99999,Calhoun County,METRO11500M11500,"Anniston-Oxford, AL MSA",Calhoun County,118572,53289,AL
0101799999,0101799999,696,511,514,867,1034,17,1,99999,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,34215,17004,AL
0101999999,0101999999,579,465,483,853,864,19,1,99999,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,25989,16267,AL
0102199999,0102199999,566,399,449,758,1002,21,1,99999,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,43643,19278,AL
0102399999,0102399999,709,520,524,883,1058,23,1,99999,Choctaw County,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,13859,7269,AL
0102599999,0102599999,566,436,438,790,842,25,1,99999,Clarke County,NCNTY01025N01025,"Clarke County, AL",Clarke County,25833,12638,AL
0102799999,0102799999,566,421,424,759,762,27,1,99999,Clay County,NCNTY01027N01027,"Clay County, AL",Clay County,13932,6776,AL
0102999999,0102999999,651,478,481,811,870,29,1,99999,Cleburne County,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,14972,6718,AL
0103199999,0103199999,631,489,492,855,884,31,1,99999,Coffee County,NCNTY01031N01031,"Coffee County, AL",Coffee County,49948,22330,AL
