state_code,county_code,county_sub_code,cntyname,town_name,areaname22,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,cbsasub22,pop2017
48,059,99999,Callahan County,,"Abilene, TX MSA",715,760,981,1337,1658,METRO10180M10180,13660
48,253,99999,Jones County,,"Abilene, TX MSA",715,760,981,1337,1658,METRO10180M10180,19970
48,441,99999,Taylor County,,"Abilene, TX MSA",715,760,981,1337,1658,METRO10180M10180,135370
72,003,99999,Aguada Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,39470
72,005,99999,Aguadilla Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,55720
72,011,99999,Añasco Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,27890
72,071,99999,Isabela Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,43315
72,081,99999,Lares Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,27320
72,099,99999,Moca Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,37675
72,117,99999,Rincón Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,14525
72,131,99999,San Sebastián Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,38970
72,141,99999,Utuado Municipio,,"Aguadilla-Isabela, PR MSA",407,423,486,604,711,METRO10380M10380,30210
39,133,99999,Portage County,,"Akron, OH MSA",653,751,953,1206,1292,METRO10420M10420,162080
39,153,99999,Summit County,,"Akron, OH MSA",653,751,953,1206,1292,METRO10420M10420,541320
13,095,99999,Dougherty County,,"Albany, GA MSA",711,737,865,1121,1359,METRO10500M10500,91520
13,177,99999,Lee County,,"Albany, GA MSA",711,737,865,1121,1359,METRO10500M10500,29215
13,273,99999,Terrell County,,"Albany, GA MSA",711,737,865,1121,1359,METRO10500M10500,8980
13,321,99999,Worth County,,"Albany, GA MSA",711,737,865,1121,1359,METRO10500M10500,20810
41,043,99999,Linn County,,"Albany, OR MSA",854,915,1203,1674,1965,METRO10540M10540,121075
36,001,99999,Albany County,,"Albany-Schenectady-Troy, NY MSA",959,1068,1301,1608,1764,METRO10580M10580,308580
36,083,99999,Rensselaer County,,"Albany-Schenectady-Troy, NY MSA",959,1068,1301,1608,1764,METRO10580M10580,159800
36,091,99999,Saratoga County,,"Albany-Schenectady-Troy, NY MSA",959,1068,1301,1608,1764,METRO10580M10580,226630
36,093,99999,Schenectady County,,"Albany-Schenectady-Troy, NY MSA",959,1068,1301,1608,1764,METRO10580M10580,155240
36,095,99999,Schoharie County,,"Albany-Schenectady-Troy, NY MSA",959,1068,1301,1608,1764,METRO10580M10580,31610
35,001,99999,Bernalillo County,,"Albuquerque, NM MSA",716,883,1071,1521,1833,METRO10740M10740,674855
35,043,99999,Sandoval County,,"Albuquerque, NM MSA",716,883,1071,1521,1833,METRO10740M10740,138815
35,057,99999,Torrance County,,"Albuquerque, NM MSA",716,883,1071,1521,1833,METRO10740M10740,15535
35,061,99999,Valencia County,,"Albuquerque, NM MSA",716,883,1071,1521,1833,METRO10740M10740,75845
22,043,99999,Grant Parish,,"Alexandria, LA MSA",577,676,868,1165,1268,METRO10780M10780,22305
22,079,99999,Rapides Parish,,"Alexandria, LA MSA",577,676,868,1165,1268,METRO10780M10780,132080
42,025,99999,Carbon County,,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",898,1011,1288,1660,1747,METRO10900M10900,63985
42,077,99999,Lehigh County,,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",898,1011,1288,1660,1747,METRO10900M10900,360775
42,095,99999,Northampton County,,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",898,1011,1288,1660,1747,METRO10900M10900,300940
34,041,99999,Warren County,,"Warren County, NJ HUD Metro FMR Area",1058,1192,1461,1806,1999,METRO10900MM5640,107090
42,013,99999,Blair County,,"Altoona, PA MSA",596,731,895,1106,1214,METRO11020M11020,124735
