rep,t,k,w_0,w_1,w_2,h,R
0.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
0.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
0.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
0.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
0.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
0.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
0.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
0.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
0.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
0.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
0.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16138.0
0.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,21987.0
0.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,23708.0
0.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,27782.0
0.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36107.0
0.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,26550.0
0.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,30867.0
0.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,32919.0
0.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,38535.0
0.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,36634.0
0.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17030.0
0.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23055.0
0.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25016.0
0.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,26135.0
0.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,37020.0
0.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24611.0
0.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,31290.0
0.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,30833.0
0.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,39047.0
0.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,35380.0
1.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
1.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
1.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
1.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
1.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
1.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
1.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
1.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
1.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
1.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
1.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16508.0
1.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22063.0
1.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,24332.0
1.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,26666.0
1.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36388.0
1.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,29518.0
1.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,31452.0
1.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,32032.0
1.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,43207.0
1.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,35147.0
1.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17993.0
1.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23633.0
1.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25724.0
1.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,28183.0
1.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,36357.0
1.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29453.0
1.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,33466.0
1.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,34890.0
1.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,46511.0
1.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,33611.0
2.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
2.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
2.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
2.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
2.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
2.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
2.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
2.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
2.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
2.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
2.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16106.0
2.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,21675.0
2.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,24132.0
2.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,26806.0
2.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,35776.0
2.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,29649.0
2.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,31933.0
2.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,31424.0
2.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,41157.0
2.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,38485.0
2.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17110.0
2.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23126.0
2.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24919.0
2.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,26972.0
2.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,36300.0
2.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,31142.0
2.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,31977.0
2.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,30659.0
2.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,44332.0
2.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,36381.0
3.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
3.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
3.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
3.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
3.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
3.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
3.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
3.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
3.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
3.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
3.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16431.0
3.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22039.0
3.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,23743.0
3.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,27472.0
3.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36244.0
3.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,26271.0
3.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,31850.0
3.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,33759.0
3.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,41672.0
3.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,37495.0
3.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17890.0
3.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23351.0
3.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24306.0
3.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25656.0
